WONum,TYPEID,woStatus,BOMITEMPART,PARTDESCRIPTION,BOMITEMDESCRIPTION,WOITEMQTY,WOITEMTOTAL,ITEMNAME,qtyOrdered,dateScheduledFulfillment,invQTY,CSTMFLD,BOMITEMID,
22-0215:018,10,Entered,S-WF-GR50-6X9-07875,WF BEAM 6.0 x 9.0 x 78.75,Create S-WF-GR50-6X9-07875,1.0000000000000,1.000000000,Create S-WF-GR50-6X9-07875,1,2022-07-08 08:40:41.0,,"{""1"": {""name"": ""Tag"", ""type"": ""Text"", ""value"": ""S-WF-GR50-6X9-07875""}, ""2"": {""name"": ""Category"", ""type"": ""Drop-Down List"", ""value"": ""Steel""}}",49101,
22-0216-1:024,10,Entered,S-WF-GR50-6X9-07875,WF BEAM 6.0 x 9.0 x 78.75,Create S-WF-GR50-6X9-07875,1.0000000000000,1.000000000,Create S-WF-GR50-6X9-07875,1,2022-07-06 13:56:15.0,,"{""1"": {""name"": ""Tag"", ""type"": ""Text"", ""value"": ""S-WF-GR50-6X9-07875""}, ""2"": {""name"": ""Category"", ""type"": ""Drop-Down List"", ""value"": ""Steel""}}",49390,
22-0215:050,10,Entered,S-WF-GR50-6X15-09600,WF BEAM 6.0 x 15.0 x 96.0,Create S-WF-GR50-6X15-09600,1.0000000000000,1.000000000,Create S-WF-GR50-6X15-09600,1,2022-07-08 08:40:41.0,,"{""1"": {""name"": ""Tag"", ""type"": ""Text"", ""value"": ""S-WF-GR50-6X15-09600""}, ""2"": {""name"": ""Category"", ""type"": ""Drop-Down List"", ""value"": ""Steel""}}",49194,
22-0215:055,10,Entered,S-WF-GR50-6X15-09600,WF BEAM 6.0 x 15.0 x 96.0,Create S-WF-GR50-6X15-09600,1.0000000000000,3.000000000,Create S-WF-GR50-6X15-09600,3,2022-07-08 08:40:41.0,,"{""1"": {""name"": ""Tag"", ""type"": ""Text"", ""value"": ""S-WF-GR50-6X15-09600""}, ""2"": {""name"": ""Category"", ""type"": ""Drop-Down List"", ""value"": ""Steel""}}",49208,
22-0215:076,10,Entered,S-WF-GR50-6X15-09600,WF BEAM 6.0 x 15.0 x 96.0,Create S-WF-GR50-6X15-09600,1.0000000000000,15.000000000,Create S-WF-GR50-6X15-09600,15,2022-07-08 08:40:41.0,,"{""1"": {""name"": ""Tag"", ""type"": ""Text"", ""value"": ""S-WF-GR50-6X15-09600""}, ""2"": {""name"": ""Category"", ""type"": ""Drop-Down List"", ""value"": ""Steel""}}",49271,
22-0216-1:115,10,Entered,S-WF-GR50-6X15-09600,WF BEAM 6.0 x 15.0 x 96.0,Create S-WF-GR50-6X15-09600,1.0000000000000,19.000000000,Create S-WF-GR50-6X15-09600,19,2022-07-06 13:56:15.0,,"{""1"": {""name"": ""Tag"", ""type"": ""Text"", ""value"": ""S-WF-GR50-6X15-09600""}, ""2"": {""name"": ""Category"", ""type"": ""Drop-Down List"", ""value"": ""Steel""}}",49663,
22-0216-1:113,10,Entered,S-WF-GR50-4X13-09600,WF BEAM 4.0 x 13.0 x 96.0,Create S-WF-GR50-4X13-09600,1.0000000000000,1.000000000,Create S-WF-GR50-4X13-09600,1,2022-07-06 13:56:15.0,,"{""1"": {""name"": ""Tag"", ""type"": ""Text"", ""value"": ""S-WF-GR50-4X13-09600""}, ""2"": {""name"": ""Category"", ""type"": ""Drop-Down List"", ""value"": ""Steel""}}",49657,
22-0215:014,10,Entered,S-TU-A513-G11-150-150-14006,TUBE 11GA x 1.5 x 1.5 x 140.06,Create S-TU-A513-G11-150-150-14006,1.0000000000000,4.000000000,Create S-TU-A513-G11-150-150-14006,4,2022-07-08 08:40:41.0,,"{""1"": {""name"": ""Tag"", ""type"": ""Text"", ""value"": ""S-TU-A513-G11-150-150-14006""}, ""2"": {""name"": ""Category"", ""type"": ""Drop-Down List"", ""value"": ""Steel""}}",49088,
22-0216-1:008,10,Entered,S-TU-A513-G11-150-150-14006,TUBE 11GA x 1.5 x 1.5 x 140.06,Create S-TU-A513-G11-150-150-14006,1.0000000000000,4.000000000,Create S-TU-A513-G11-150-150-14006,4,2022-07-06 13:56:15.0,,"{""1"": {""name"": ""Tag"", ""type"": ""Text"", ""value"": ""S-TU-A513-G11-150-150-14006""}, ""2"": {""name"": ""Category"", ""type"": ""Drop-Down List"", ""value"": ""Steel""}}",49341,
22-0215:011,10,Entered,S-TU-A513-G11-150-150-06900,TUBE 11GA x 1.5 x 1.5 x 69.0,Create S-TU-A513-G11-150-150-06900,1.0000000000000,2.000000000,Create S-TU-A513-G11-150-150-06900,2,2022-07-08 08:40:41.0,,"{""1"": {""name"": ""Tag"", ""type"": ""Text"", ""value"": ""S-TU-A513-G11-150-150-06900""}, ""2"": {""name"": ""Category"", ""type"": ""Drop-Down List"", ""value"": ""Steel""}}",49080,
